Disease,Defect,Severity,SeverityName,RepairStratCategory,RepairStrat,RepairStratName,LifetimeMinYears,LifetimeMaxYears,LifetimeMean,RoadType
Disintegration,Patch,2,Medium,Overlay,p,"Hot in-place recycling, thin overlay",6,10,8,Asphalt
Disintegration,Patch,2,Medium,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Disintegration,Patch,3,High,Patching,g,Cold-mix asphalt,1,1,1,Asphalt
Disintegration,Patch,3,High,Patching,h,Hot-mix asphalt,1,1,1,Asphalt
Disintegration,Patch,3,High,Patching,i,Spray injection,5,5,5,Asphalt
Disintegration,Patch,3,High,Patching,j,Slurry or microsurfacing,3,5,4,Asphalt
Disintegration,Patch,3,High,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Disintegration,Pothole,1,Low,Patching,g,Cold-mix asphalt,1,1,1,Asphalt
Disintegration,Pothole,1,Low,Patching,h,Hot-mix asphalt,1,1,1,Asphalt
Disintegration,Pothole,1,Low,Patching,i,Spray injection,5,5,5,Asphalt
Disintegration,Pothole,1,Low,Patching,j,Slurry or microsurfacing,3,5,4,Asphalt
Disintegration,Pothole,2,Medium,Patching,g,Cold-mix asphalt,1,1,1,Asphalt
Disintegration,Pothole,2,Medium,Patching,h,Hot-mix asphalt,1,1,1,Asphalt
Disintegration,Pothole,2,Medium,Patching,i,Spray injection,5,5,5,Asphalt
Disintegration,Pothole,2,Medium,Patching,j,Slurry or microsurfacing,3,5,4,Asphalt
Disintegration,Pothole,3,High,Patching,g,Cold-mix asphalt,1,1,1,Asphalt
Disintegration,Pothole,3,High,Patching,h,Hot-mix asphalt,1,1,1,Asphalt
Disintegration,Pothole,3,High,Patching,i,Spray injection,5,5,5,Asphalt
Disintegration,Pothole,3,High,Patching,j,Slurry or microsurfacing,3,5,4,Asphalt
Drainage failure,Flooding and standing water,3,High,Foundation repair,aj,Foundation improvement,unknown,unknown,unknown,Asphalt
Drainage failure,Flooding and standing water,3,High,Drainage renewal,ae,Unblocking,1,3,2,Asphalt
Hinderance,Blockage (gully),1,Low,Drainage renewal,ae,Unblocking,1,3,2,Asphalt
Hinderance,Blockage (gully),1,Low,Drainage renewal,af,Gully cleaning,1,3,2,Asphalt
Hinderance,Blockage (gully),2,Medium,Drainage renewal,ae,Unblocking,1,3,2,Asphalt
Hinderance,Blockage (gully),2,Medium,Drainage renewal,af,Gully cleaning,1,3,2,Asphalt
Hinderance,Blockage (gully),3,High,Drainage renewal,ad,Removal and replacement (gully),50,>50,50,Asphalt
Hinderance,Blockage (gully),3,High,Drainage renewal,ae,Unblocking,1,3,2,Asphalt
Hinderance,Blockage (gully),3,High,Drainage renewal,af,Gully cleaning,1,3,2,Asphalt
Road marking defects,Material fault,0,Very Low,Painting,ab,Repainting,1,10,5.5,Asphalt
Road marking defects,Material fault,1,Low,Painting,ab,Repainting,1,10,5.5,Asphalt
Road marking defects,Material fault,2,Medium,Painting,ab,Repainting,1,10,5.5,Asphalt
Road marking defects,Material fault,3,High,Painting,ab,Repainting,1,10,5.5,Asphalt
Road marking defects,Poor luminance,3,High,Painting,ab,Repainting,1,10,5.5,Asphalt
Road marking defects,Poor luminance,3,High,Clearing,ac,Sweeping,1,3,2,Asphalt
Road marking defects,Poor retroreflectivity,3,High,Painting,ab,Repainting,1,10,5.5,Asphalt
Road marking defects,Poor retroreflectivity,3,High,Clearing,ac,Sweeping,1,3,2,Asphalt
Road marking defects,Skidding,3,High,Painting,ab,Repainting,1,10,5.5,Asphalt
Road marking defects,Skidding,3,High,Clearing,ac,Sweeping,1,3,2,Asphalt
Road marking defects,Stud defects,3,High,Other,ag,Removal and replacement (stud),3,10,6.5,Both
Road marking defects,Stud retroreflectivity,3,High,Other,ag,Removal and replacement (stud),3,10,6.5,Both
Road marking defects,Stud retroreflectivity,2,Medium,Other,ag,Removal and replacement (stud),3,10,6.5,Both
Surface defects,Bleeding,1,Low,Sealing,k,Slurry seal,3,5,4,Asphalt
Surface defects,Bleeding,1,Low,Sealing,l,Seal coat,3,6,4.5,Asphalt
Surface defects,Bleeding,1,Low,Sealing,m,Double chip seal,7,10,8.5,Asphalt
Surface defects,Bleeding,1,Low,Sealing,n,Microsurfacing,5,8,6.5,Asphalt
Surface defects,Bleeding,2,Medium,Sealing,k,Slurry seal,3,5,4,Asphalt
Surface defects,Bleeding,2,Medium,Sealing,l,Seal coat,3,6,4.5,Asphalt
Surface defects,Bleeding,2,Medium,Sealing,m,Double chip seal,7,10,8.5,Asphalt
Surface defects,Bleeding,2,Medium,Sealing,n,Microsurfacing,5,8,6.5,Asphalt
Surface defects,Bleeding,3,High,Sealing,k,Slurry seal,3,5,4,Asphalt
Surface defects,Bleeding,3,High,Sealing,l,Seal coat,3,6,4.5,Asphalt
Surface defects,Bleeding,3,High,Sealing,m,Double chip seal,7,10,8.5,Asphalt
Surface defects,Bleeding,3,High,Sealing,n,Microsurfacing,5,8,6.5,Asphalt
Surface defects,Bleeding,3,High,Overlay,o,Thin hot-mix overlay,5,8,6.5,Asphalt
Surface defects,Raveling,1,Low,Other,r,Fog seal,1,2,1.5,Asphalt
Surface defects,Raveling,2,Medium,Sealing,l,Seal coat,3,6,4.5,Asphalt
Surface defects,Raveling,2,Medium,Other,r,Fog seal,1,2,1.5,Asphalt
Surface defects,Raveling,3,High,Patching,g,Cold-mix asphalt,1,1,1,Asphalt
Surface defects,Raveling,3,High,Patching,h,Hot-mix asphalt,1,1,1,Asphalt
Surface defects,Raveling,3,High,Patching,i,Spray injection,5,5,5,Asphalt
Surface defects,Raveling,3,High,Patching,j,Slurry or microsurfacing,3,5,4,Asphalt
Surface defects,Raveling,3,High,Sealing,k,Slurry seal,3,5,4,Asphalt
Surface defects,Raveling,3,High,Sealing,l,Seal coat,3,6,4.5,Asphalt
Surface defects,Raveling,3,High,Sealing,m,Double chip seal,7,10,8.5,Asphalt
Surface defects,Raveling,3,High,Sealing,n,Microsurfacing,5,8,6.5,Asphalt
Surface defects,Raveling,3,High,Overlay,o,Thin hot-mix overlay,5,8,6.5,Asphalt
Surface defects,Spalling,3,High,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Surface deformation,Distortion,1,Low,Sealing,m,Double chip seal,7,10,8.5,Asphalt
Surface deformation,Distortion,1,Low,Overlay,o,Thin hot-mix overlay,5,8,6.5,Asphalt
Surface deformation,Distortion,1,Low,Overlay,p,"Hot in-place recycling, thin overlay",6,10,8,Asphalt
Surface deformation,Distortion,2,Medium,Overlay,o,Thin hot-mix overlay,5,8,6.5,Asphalt
Surface deformation,Distortion,2,Medium,Overlay,p,"Hot in-place recycling, thin overlay",6,10,8,Asphalt
Surface deformation,Distortion,2,Medium,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Surface deformation,Distortion,3,High,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Surface deformation,Rutting,1,Low,Patching,g,Cold-mix asphalt,1,1,1,Asphalt
Surface deformation,Rutting,1,Low,Patching,h,Hot-mix asphalt,1,1,1,Asphalt
Surface deformation,Rutting,1,Low,Patching,i,Spray injection,5,5,5,Asphalt
Surface deformation,Rutting,1,Low,Patching,j,Slurry or microsurfacing,3,5,4,Asphalt
Surface deformation,Rutting,1,Low,Sealing,n,Microsurfacing,5,8,6.5,Asphalt
Surface deformation,Rutting,1,Low,Overlay,p,"Hot in-place recycling, thin overlay",6,10,8,Asphalt
Surface deformation,Rutting,1,Low,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Surface deformation,Rutting,2,Medium,Patching,g,Cold-mix asphalt,1,1,1,Asphalt
Surface deformation,Rutting,2,Medium,Patching,h,Hot-mix asphalt,1,1,1,Asphalt
Surface deformation,Rutting,2,Medium,Patching,i,Spray injection,5,5,5,Asphalt
Surface deformation,Rutting,2,Medium,Patching,j,Slurry or microsurfacing,3,5,4,Asphalt
Surface deformation,Rutting,2,Medium,Sealing,k,Slurry seal,3,5,4,Asphalt
Surface deformation,Rutting,2,Medium,Sealing,n,Microsurfacing,5,8,6.5,Asphalt
Surface deformation,Rutting,2,Medium,Overlay,o,Thin hot-mix overlay,5,8,6.5,Asphalt
Surface deformation,Rutting,2,Medium,Overlay,p,"Hot in-place recycling, thin overlay",6,10,8,Asphalt
Surface deformation,Rutting,2,Medium,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Surface deformation,Rutting,3,High,Patching,g,Cold-mix asphalt,1,1,1,Asphalt
Surface deformation,Rutting,3,High,Patching,h,Hot-mix asphalt,1,1,1,Asphalt
Surface deformation,Rutting,3,High,Patching,i,Spray injection,5,5,5,Asphalt
Surface deformation,Rutting,3,High,Patching,j,Slurry or microsurfacing,3,5,4,Asphalt
Surface deformation,Rutting,3,High,Sealing,n,Microsurfacing,5,8,6.5,Asphalt
Surface deformation,Rutting,3,High,Overlay,o,Thin hot-mix overlay,5,8,6.5,Asphalt
Surface deformation,Rutting,3,High,Overlay,p,"Hot in-place recycling, thin overlay",6,10,8,Asphalt
Surface deformation,Rutting,3,High,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Surface deformation,Shoving,1,Low,Overlay,p,"Hot in-place recycling, thin overlay",6,10,8,Asphalt
Surface deformation,Shoving,1,Low,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Surface deformation,Shoving,2,Medium,Patching,g,Cold-mix asphalt,1,1,1,Asphalt
Surface deformation,Shoving,2,Medium,Patching,h,Hot-mix asphalt,1,1,1,Asphalt
Surface deformation,Shoving,2,Medium,Patching,i,Spray injection,5,5,5,Asphalt
Surface deformation,Shoving,2,Medium,Patching,j,Slurry or microsurfacing,3,5,4,Asphalt
Surface deformation,Shoving,2,Medium,Overlay,p,"Hot in-place recycling, thin overlay",6,10,8,Asphalt
Surface deformation,Shoving,2,Medium,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Surface deformation,Shoving,3,High,Patching,g,Cold-mix asphalt,1,1,1,Asphalt
Surface deformation,Shoving,3,High,Patching,h,Hot-mix asphalt,1,1,1,Asphalt
Surface deformation,Shoving,3,High,Patching,i,Spray injection,5,5,5,Asphalt
Surface deformation,Shoving,3,High,Patching,j,Slurry or microsurfacing,3,5,4,Asphalt
Surface deformation,Shoving,3,High,Sealing,n,Microsurfacing,5,8,6.5,Asphalt
Surface deformation,Shoving,3,High,Overlay,o,Thin hot-mix overlay,5,8,6.5,Asphalt
Surface deformation,Shoving,3,High,Overlay,p,"Hot in-place recycling, thin overlay",6,10,8,Asphalt
Surface deformation,Shoving,3,High,Overlay,q,"Cold in-place recycling, thin overlay",6,15,10.5,Asphalt
Surface defects,Surface irregularities,1,Low,Joint repair,ca,Bump cutting,unknown,unknown,unknown,Concrete
Surface defects,Surface irregularities,1,Low,Filling,cb,Thin bonded repair,10,15,12.5,Concrete
Surface defects,Surface irregularities,2,Medium,Filling,cb,Thin bonded repair,10,15,12.5,Concrete
Surface defects,Surface irregularities,3,High,Filling,f,Full depth repair,15,20,17.5,Concrete
Surface defects,Surface irregularities,3,High,Bay repair,cc,Bay replacement,30,50,40,Concrete
Disintegration,Surface scaling,1,Low,Other,cd,Retexturing,4,6,5,Concrete
Disintegration,Surface scaling,1,Low,Overlay,cf,Overlay on concrete,3,>12,3,Concrete
Disintegration,Surface scaling,2,Medium,Filling,cb,Thin bonded repair,10,15,12.5,Concrete
Disintegration,Surface scaling,2,Medium,Filling,ce,Shallow repair,3,10,6.5,Concrete
Disintegration,Surface scaling,2,Medium,Overlay,cf,Overlay on concrete,3,>12,3,Concrete
Disintegration,Surface scaling,3,High,Filling,f,Full depth repair,15,20,17.5,Concrete
Disintegration,Surface scaling,3,High,Bay repair,cc,Bay replacement,30,50,40,Concrete
Disintegration,Surface scaling,3,High,Overlay,cf,Overlay on concrete,3,>12,3,Concrete
Disintegration,Surface scaling,3,High,Reconstruction,cg,Pavement reconstruction,20,50,35,Both
Cracking,Crazing,1,Low,Other,cd,Retexturing,4,6,5,Concrete
Cracking,Crazing,2,Medium,Other,cd,Retexturing,4,6,5,Concrete
Cracking,Crazing,2,Medium,Filling,cb,Thin bonded repair,10,15,12.5,Concrete
Cracking,Crazing,2,Medium,Filling,ce,Shallow repair,3,10,6.5,Concrete
Cracking,Crazing,3,High,Reconstruction,cg,Pavement reconstruction,20,50,35,Both
Disintegration,Pop-outs,1,Low,Filling,ch,Single particle repair,1,>12,1,Concrete
Disintegration,Pop-outs,2,Medium,Filling,cb,Thin bonded repair,10,15,12.5,Concrete
Disintegration,Pop-outs,3,High,Filling,ce,Shallow repair,3,10,6.5,Concrete
Joint defects,Defective joint seals,2,Medium,Joint repair,ci,Joint seal replacement,6,15,10.5,Concrete
Joint defects,Defective joint seals,3,High,Joint repair,ci,Joint seal replacement,6,15,10.5,Concrete
Joint defects,Defective joint seals,3,High,Bay repair,cc,Bay replacement,30,50,40,Concrete
Joint defects,Defective joint seals,3,High,Bay repair,cj,Under slab grouting,20,50,35,Concrete
Joint defects,Defective joint seals,3,High,Filling,ce,Shallow repair,3,10,6.5,Concrete
Joint defects,Shallow joint spalls,1,Low,Joint repair,ck,Joint groove widening,unknown,unknown,unknown,Concrete
Joint defects,Shallow joint spalls,2,Medium,Filling,cb,Thin bonded repair,10,15,12.5,Concrete
Joint defects,Shallow joint spalls,3,High,Filling,ce,Shallow repair,3,10,6.5,Concrete
Displacement,Depressions,1,Low,Multiple strategies,mb,Under slab grouting + Slab lifting + Bump cutting,20,50,35,Concrete
Displacement,Depressions,3,High,Multiple strategies,mb,Under slab grouting + Slab lifting + Bump cutting,20,50,35,Concrete
Displacement,Depressions,3,High,Bay repair,cc,Bay replacement,30,50,40,Concrete
Displacement,Depressions,3,High,Filling,f,Full depth repair,15,20,17.5,Concrete
Displacement,Depressions,3,High,Multiple strategies,ma,Drainage renewal,5,20,12.5,Both
Displacement,Depressions,3,High,Reconstruction,cg,Pavement reconstruction,20,50,35,Both
Displacement,Heave,1,Low,Joint repair,ca,Bump cutting,unknown,unknown,unknown,Concrete
Displacement,Heave,2,Medium,Joint repair,ca,Bump cutting,unknown,unknown,unknown,Concrete
Displacement,Heave,2,Medium,Multiple strategies,mc,Foundation improvement + Bay replacement,20,50,35,Concrete
Displacement,Heave,2,Medium,Multiple strategies,me,Foundation replacement + Bay replacement,20,50,35,Concrete
Displacement,Heave,2,Medium,Multiple strategies,md,Foundation improvement + Full depth repair,15,20,17.5,Concrete
Displacement,Heave,2,Medium,Multiple strategies,mf,Foundation replacement + Full depth repair,15,20,17.5,Concrete
Displacement,Heave,3,High,Reconstruction,cg,Pavement reconstruction,20,50,35,Both
Disintegration,Punchouts,1,Low,Filling,f,Full depth repair,15,20,17.5,Concrete
Disintegration,Punchouts,1,Low,Bay repair,cc,Bay replacement,30,50,40,Concrete
Disintegration,Punchouts,3,High,Filling,f,Full depth repair,15,20,17.5,Concrete
Disintegration,Punchouts,3,High,Bay repair,cc,Bay replacement,30,50,40,Concrete
Disintegration,Punchouts,3,High,Foundation repair,cl,Foundation replacement,20,50,35,Concrete
Disintegration,Punchouts,3,High,Reconstruction,cg,Pavement reconstruction,20,50,35,Both
Joint defects,Deep joint spalls,3,High,Filling,f,Full depth repair,15,20,17.5,Concrete
Joint defects,Deep joint spalls,3,High,Bay repair,cc,Bay replacement,30,50,40,Concrete
Cracking,Corner cracking,1,Low,Filling,cm,Inlaid crack repair,3,5,4,Concrete
Cracking,Corner cracking,3,High,Filling,f,Full depth repair,15,20,17.5,Concrete
Cracking,Corner cracking,3,High,Bay repair,cc,Bay replacement,30,50,40,Concrete
Cracking,Cracking around ironworks,1,Low,Filling,cm,Inlaid crack repair,3,5,4,Concrete
Cracking,Cracking around ironworks,3,High,Multiple strategies,mg,Full depth repair + Ironwork reinstatement,15,20,17.5,Concrete
Cracking,Cracking around ironworks,3,High,Multiple strategies,mi,Bay replacement + Ironwork reinstatement,20,50,35,Concrete
Cracking,Cracking around ironworks,3,High,Multiple strategies,mh,Full depth repair + Ironwork relocation,15,20,17.5,Concrete
Cracking,Cracking around ironworks,3,High,Multiple strategies,mj,Bay replacement + Ironwork relocation,20,50,35,Concrete
Cracking,Diagonal cracking,1,Low,Filling,cm,Inlaid crack repair,3,5,4,Concrete
Cracking,Diagonal cracking,3,High,Filling,f,Full depth repair,15,20,17.5,Concrete
Cracking,Diagonal cracking,3,High,Multiple strategies,mf,Foundation replacement + Full depth repair,15,20,17.5,Concrete
Cracking,Diagonal cracking,3,High,Bay repair,cc,Bay replacement,30,50,40,Concrete
Cracking,Diagonal cracking,3,High,Multiple strategies,me,Foundation replacement + Bay replacement,20,50,35,Concrete
Cracking,Transverse cracking,1,Low,Filling,cm,Inlaid crack repair,3,5,4,Concrete
Cracking,Transverse cracking,3,High,Filling,f,Full depth repair,15,20,17.5,Concrete
Cracking,Transverse cracking,3,High,Multiple strategies,mf,Foundation replacement + Full depth repair,15,20,17.5,Concrete
Cracking,Transverse cracking,3,High,Bay repair,cc,Bay replacement,30,50,40,Concrete
